Origin_id	Product_id
1	3175681060524
1	3228857000197
1	3451790852497
1	3414280077060
1	3250390016342
1	3438860001672
1	7613035832442
1	3523230024815
1	3273220012123
1	3259010301400
2	3175681060524
3	3273220012123
4	3560070407613
5	3265479432005
6	3273220012123
7	7610700607046
8	3273220012123
9	3560070407613
10	3035626803558
11	3259010301400
12	7610700607046
