code	product_name	quantity	serving_size	energy_100g	fat_100g	saturated-fat_100g	carbohydrates_100g	sugars_100g	fiber_100g	proteins_100g	salt_100g	sodium_100g	ingredients_text
3175681135024	Moelleux aux pépites de chocolat	196	28 g	1477	20	3.7	54	0	2.4	5.1	0.95	0.374015748031496	Edulcorant : maltitols, farine de blé 20%, œufs, huile de colza, pépites de chocolat au maltitol 13% (édulcorant : maltitols, pâte de cacao, émulsifiant : lécithines de soja, cacao maigre en poudre, arôme naturel de vanille), stabilisant : glycérol d'origine végétale, stabilisant : sorbitols, amidon de blé, poudres à lever (diphosphates, carbonates de sodium), arôme naturel, alcool éthylique, sel de mer, arôme naturel de vanille, épaississants : gomme xanthane et gomme guar.
3220035210008	Cassonade	1 kg		1657	0	0	99	99	0	0	0	0	Matières grasses / Fat / Fetthalt dont acides gras saturés [of which saturates / varav mâttat fett Glucides / Carbohydrate / Kolhydrater dont sucres / of which sugars / varav sockerarter Protéines / Protein / Proteiner Sel / Salt Saint Louis Sucre
3222471068045	Petits pois et jeunes carottes à l'étuvée extra-fins	212ml 200g		263	0.6	0.2	8.8	3.7	4.2	3.4	0.570000000000001	0.224409448818898	Eau - jeunes carottes petits pois 30,9% - sucre - sel - arôme naturel. CONSEILS DE PRÉPARATION égoutter. Réchauffez avec le jus. i m pas boite e} PENSEZ tique à eter pouvant varier localement &gt; wwconsignesdÙi.t valable uniquement pour la
3222476116239	Casino			1837	23	8.7	64	0.5	3.3	7.2	0.67	0.263779527559055	Farine de blé 34,1% - pépites de chocolat avec édulcorant 30,7% (édulcorant : maltitols - pâte de cacao - émulsifiant : lécithines de soja - cacao maigre en poudre - arôme naturel de vanille) - édulcorant : maltitols - huile de colza - beurre concentré - Œufs entiers en poudre - poudres à lever : diphosphates, carbonates d'ammonium, carbonates de sodium - sel - extrait de cacao - arôme naturel de vanille. 
3228021170039	Camembert			1125	21	15	0	0		20	1.4	0.551181102362205	lait (origine France), ferments lactiques et d'affinage, sel.
3228857000197	American Sandwich Complet	600 g e	86 g, deux tranches	1059	4.5	0.4	41.9	7	7.2	7.7	1.13	0.444881889763779	Farine complète de _blé_ 38%, eau, farine de _blé_, huile de colza, sucre, arôme (contient alcool), sel, gluten de _blé_, farine de _seigle_ maltée, vinaigre, levure, extrait d'acérola.
3229820762050	Sauce Soja	200 ml		301	0.4	0.09	8.1	1.5		9	16.2	6.37795275590551	Eau, fèves de _soja_ dégraissées 13%, sel marin, alcool, fèves de _soja _ 0.1 %, contient _blé_, _orge_.
3250390016342	2 Steaks Hachés (5 % MG), Pur Bœuf	250 g	125 g	536	4.7	2.2	0.5	0.5		22	0.18	0.0708661417322835	INGRÉDIENT : viande bovine origine France
3250392262112	Mini financiers aux amandes	210 g		1942	27.5	12.9	45.2	32.1		8.5	0.38	0.149606299212598	sucre roux de canne, blancs d’_œufs_, _beurre_ (dont _lait_) 18%, poudre d'_amandes_ 14,49%, farine de _blé_ 10,8%, stabilisant : sorbitols, _œufs_ entiers, sel, poudres à lever : diphosphates et carbonates de sodium, amidon de blé arôme naturel d'amande amère, arôme (contient alcool).
3252371303519	Bicarbonate alimentaire	400 g		0	0	0	0	0	0	0	0	0	Bicarbonate de sodium
3256223163351	Pur'Mie Super moelleuse nature	500 g	35,7 g	1046	3	0.4	46.8	7.9	2	7.9	1	0.393700787401575	Farine de _blé_ 56%, eau, sucre, levure, huile de colza, _gluten de blé_, farine de fèves, sel, émulsifiants : E47 - E481, vinaigre d'alcool, conservateur : propionate de calcium, gélifiant : gomme guar.
3259010301400	Croc Tofou Cèpes en persillade	200g (2x100g)	100g	657	8.2	1.3	3.9	0.7	3.8	15	0.95	0.374015748031496	Tofu* 91.2%(eau, _soja_* décortiqué, gélifiants : sulfate de calcium, nigari), cèpes* réhydratés 7%,  flocons d'_avoine_ complète*, farine de _blé_*, persil*, échalotes*, ail*, sel de mer, sauce _soja_* (eau, _soja_* entier, _blé_* entier, sel de mer, alcool*, ferment), extrait de levure*, muscade*, poivre*.    * ingrédients issus de l'agriculture biologique.
3259011124824	Croc Tofu Chêvre, Epinards & Graines de pavot	2 x 100 g		686	10	2.5	2	0.5	5.1	14	0.95	0.374015748031496	Tofu 85,4% (eau, _soja_* décortiqué 23, 1 %, gélifiants : sulfate de calcium, nigari), épinards* 9,1%, _fromages_ de chèvre* 7,9%, flocons d'_avoine_* complète, farine de _blé_*, sel de mer, graines de pavot* 0,7%, poivre*.    * ingrédients issus de l'agriculture biologique
3262971311258	Lait fermenté	1 L		180	1.1	0.8	4.9	4.9		3.4	0.12	0.047244094488189	_Lait_ (France) pasteurisé à 1% de matière grasse, ferments lactiques (_lait_)
3265479432005	Huile d'olive vierge extra bio Puget	75 cl	10 g (1 cuillère à soupe)	3766	100	14	0	0	0	0	0	0	Huile d'olive
3268650006057	Eau de source finement pétillante	1.25l		0	0	0	0	0	0	0	1.31	0.515748031496063	Composition moyenne en mg/l : Calcium : 73 / Magnésium : 20 Sodium : 131 / Potassium : 7 / Bicarbonates : 427 / Sulfates : 143 Chlorures : 57 / Nitrates : 1,5 / Résidu sec à 1800C : 665.
3273220012123	Fromage frait au lait pasteurisé de chèvre	200g		753	15	10.8	2.5	2.5	0	11	1.03	0.405511811023622	Lait de chèvre pasteurisé (origine : France), sel(1%), présure naturelle
3275411801011	Terrine de campagne	180 g		1310	28.1	10.3	0.79	0.58		14.3	1.76	0.692913385826772	Porc 88% (gorge, foie), _lait_, _œufs_, sel, Cognac, épices, arômes naturels
3297569300000	Australine l eau pure de la Réunion			0	0	0	0	0	0	0	0	0	Eau de source
3302748669028	Saint Jacques au Noilly et riz au safran	270 g	270 g	695	7.3	3.8	17	0.5	0.8	7.6	1.29	0.507874015748031	Riz cuit 40% (eau, riz), noix de _Saint-Jacques*_ 24% (Zygochlamys patagonica Argentine ou Chlamys opercularis Irlande ou chlamys albidus Russie), _crème_ fraîche, jus de cuisson des noix de _Saint-Jacques*_, shiitakes 5.5%, _beurre_, vin blanc, eau, huile de colza, vermouth Noilly Prat® 0.9% (contient du _lait_), échalotes, farine de _blé_, vinaigre de vin blanc, sel, coriandre, cumin, poivre, safran 0.01%, piment, curcuma. *Voir à l'emplacement de la date limite de consommation.  
3329770058682	Perle de Lait Vanille	500 g	125 g	573	8.1	5.4	12.4	10.9	0.1	2.8	0.15	0.0590551181102362	C_iE2 Citron SPÉCIALITÉ LAITIÈRE SUCRÉE, AU CITRON INGRÉDIENTS I Lait écrémé - Crème - Sucre 7.2% - Citron 2% - Sirop de glucosefructose 2% - Amidon transformé de riz et de mais - Poudre de lait écrémé - Correcteurs d'acidité : Citrates de sodium ; Acide citrique - Arômes - Ferments lactiques - Colorants : Curcumlne. Lait d'origine France. Sans gluten. GESUIKERDE MELKSPECIALITEIT MET CITROEN INGREDIËNTEN 'Magere melk - Room - Suiker 7,2% - Citroen 2% - Glucose-fructosesiroop 2% - Getransformeerd rijst en maïs zetmeel - Magere melkpoeder- Zuurteregelaars: Natriumcltraat ; Citroenzuur - Aromats - Kleurstof : Curcumlne. Glutenvrije. Ces 4 pots ne peuvent être vendus séparément. Deze 4 potjes mogen niet afzonderlijk verkocht worden. ÉTUI CARTON POT PLASTIQUE
3332930010543	Oeufs			607	10.3	2.7	0.7	0.7		12.3	0.32	0.125984251968504	ta signification du (Ode du prodil( tenr impnmé est 0 = Œufs biologtques, FR = France, J lettres du producteur, 2 chiffres = Numérn du bâtiment.
3369572804544	Saucisson sec			1656	32.3	14.7	21.8	1.8		25.3	4.99999999999999	1.96850393700787	Viande de porc, sel de Guérande, 2,4% lactose, dextrose, épices et plante aromatique, antioxydant : érythorbate de sodium, conservateur : nitrate de potassium, ferments. Enveloppe : boyau naturel de porc.
3414280077060	Oeufs	x 6		594	9.86	0	0.8	0.22	0	12.6	0	0	Œufs
3438860001672	Cafeneige	220 g	110 g	628	9.9	7.56	11.87	8.39		3.25	0.16	0.062992125984252	_Lait_ entier de vaches Jersiaises*, crème Chantilly (_lait_) de vache Jersiaises 13%, extrait de café 5%* , sucre de canne roux non rafﬁné*, amidon de maïs*, extrait de vanille de Madagascar*, extrait d'algue marine (carraghénane) * Ingrédients issus de l'agriculture biologique
3451790852497	Semi épaisse 4% si légère	3 x 20 cl		326	4.3	2.9	6.5	4.3	0.4	3.1	0.13	0.0511811023622047	_Lait_ écrémé*, crème* de _lait_ (10%), amidon modifié, stabilisants : E407, E440, E460, E466, émulsifiant : E471. *Origine : France.
